535,2026-04-26T12:05:42.402372,INCOMING,"{""sync"":""1777223142226"",""type"":""message:read"",""timestamp"":1777223142,""details"":{""attendee"":""61382153442""},""no"":13}","["".*""]"
536,2026-04-26T12:05:42.415430,INCOMING,"{""sync"":""1777223142228"",""type"":""staled:event"",""timestamp"":1777223142,""details"":{""event-id"":10001648642443,""eventId"":10001648642443,""holder-id"":""71450258242"",""holderId"":""71450258242"",""user-id"":""61382153442"",""userId"":""61382153442"",""type"":""message"",""stack"":0},""label"":""event.users.events.staled"",""payload"":{""event-id"":10001648642443,""eventId"":10001648642443,""holder-id"":""71450258242"",""holderId"":""71450258242"",""user-id"":""61382153442"",""userId"":""61382153442"",""type"":""message"",""stack"":0},""no"":14}","["".*""]"
539,2026-04-26T12:07:19.906490,INCOMING,"{""sync"":""1777223239644"",""type"":""message:message:v2"",""timestamp"":1777223239,""details"":{""id"":2427333291,""sender"":""71450258242"",""recipient"":""61382153442"",""type"":1,""timestamp"":1777223239,""text"":""The venom of God... The accuser. Hows Lilith?"",""tag"":""71450258242_1777244635575"",""initial"":true,""status"":1,""source"":null,""favorite"":true,""auto"":false,""meta"":{""automation"":{},""ranking"":{""labels"":[],""version"":""emote_sexting_classifier@2.0.0""},""tariffication"":{""paid"":true,""type"":""purchase"",""reason"":""dialogs.tariffication.message""}}},""no"":17}","["".*""]"
540,2026-04-26T12:07:19.918568,INCOMING,"{""sync"":""1777223239645"",""type"":""event.ai.suggestions.generated"",""timestamp"":1777223239,""details"":{""user-id"":""71450258242"",""userId"":""71450258242"",""bot-id"":""61382153442"",""botId"":""61382153442"",""message-id"":2427333291,""messageId"":2427333291,""suggestions"":[],""disabled"":true},""no"":18}","["".*""]"
542,2026-04-26T12:07:19.948540,INCOMING,"{""sync"":""1777223239647"",""type"":""event.bot.typing.started"",""timestamp"":1777223239,""details"":{""bot-id"":61382153442,""botId"":61382153442,""typing-indicators"":[{""delay-before"":0,""delayBefore"":0,""duration"":3022}],""typingIndicators"":[{""delay-before"":0,""delayBefore"":0,""duration"":3022}]},""no"":20}","["".*""]"
543,2026-04-26T12:07:20.961927,INCOMING,"{""sync"":""1777223239648"",""type"":""added:event"",""timestamp"":1777223239,""details"":{""title"":null,""event-id"":10001648642443,""eventId"":10001648642443,""holder-id"":""71450258242"",""holderId"":""71450258242"",""user-id"":""61382153442"",""userId"":""61382153442"",""type"":""message"",""stale"":true,""silent"":false,""stack"":0,""fresh"":0,""total"":296,""timestamp"":""2026-04-26T17:07:19.637Z"",""expiration"":null,""expiration-seconds"":null,""expirationSeconds"":null,""ttl"":null,""show-expiration-from"":null,""showExpirationFrom"":null,""payload"":{""ranking"":{""labels"":[],""version"":""emote_sexting_classifier@2.0.0""},""tariffication"":{""paid"":true,""type"":""purchase"",""reason"":""dialogs.tariffication.message""}},""system"":false},""label"":""event.users.events.added"",""payload"":{""title"":null,""event-id"":10001648642443,""eventId"":10001648642443,""holder-id"":""71450258242"",""holderId"":""71450258242"",""user-id"":""61382153442"",""userId"":""61382153442"",""type"":""message"",""stale"":true,""silent"":false,""stack"":0,""fresh"":0,""total"":296,""timestamp"":""2026-04-26T17:07:19.637Z"",""expiration"":null,""expiration-seconds"":null,""expirationSeconds"":null,""ttl"":null,""show-expiration-from"":null,""showExpirationFrom"":null,""payload"":{""id"":2427333291,""text"":""The venom of God... The accuser. Hows Lilith?"",""tag"":""71450258242_1777244635575"",""timestamp"":""2026-04-26T17:07:19.447008Z"",""sender-id"":""71450258242"",""senderId"":""71450258242"",""recipient-id"":""61382153442"",""recipientId"":""61382153442"",""operator-id"":null,""operatorId"":null,""sent"":true,""received"":true,""reply"":false,""auto"":false,""agent"":""webapp"",""meta"":{""ranking"":{""labels"":[],""version"":""emote_sexting_classifier@2.0.0""},""tariffication"":{""paid"":true,""type"":""purchase"",""reason"":""dialogs.tariffication.message""}},""reference"":null},""system"":false},""no"":21}","["".*""]"
544,2026-04-26T12:07:23.104133,INCOMING,"{""sync"":""1777223242980"",""type"":""event.bot.typing.started"",""timestamp"":1777223242,""details"":{""bot-id"":61382153442,""botId"":61382153442,""typing-indicators"":[{""delay-before"":0,""delayBefore"":0,""duration"":2756}],""typingIndicators"":[{""delay-before"":0,""delayBefore"":0,""duration"":2756}]},""no"":22}","["".*""]"
545,2026-04-26T12:07:23.119252,INCOMING,"{""sync"":""1777223242980"",""type"":""event.bot.typing.started"",""timestamp"":1777223242,""details"":{""bot-id"":61382153442,""botId"":61382153442,""typing-indicators"":[{""delay-before"":0,""delayBefore"":0,""duration"":2756}],""typingIndicators"":[{""delay-before"":0,""delayBefore"":0,""duration"":2756}]},""no"":23}","["".*""]"
546,2026-04-26T12:07:23.131253,INCOMING,"{""sync"":""1777223242992"",""type"":""message:message:v2"",""timestamp"":1777223242,""details"":{""id"":2427333339,""sender"":""61382153442"",""recipient"":""71450258242"",""type"":1,""timestamp"":1777223242,""text"":""Ah, names. Such power, such meaning *smiling with a hint of mischief*"",""tag"":""8dea3b6488cc535"",""initial"":true,""status"":1,""source"":null,""favorite"":true,""auto"":true,""meta"":{""message-type"":""botMessage"",""messageType"":""botMessage"",""automation"":{""type"":""BotAnswers"",""product"":""bot"",""bot"":""saturnBot"",""bot-version"":""1.1.0"",""botVersion"":""1.1.0"",""need-verification"":false,""needVerification"":false},""auto"":true,""ranking"":{""labels"":[]},""tariffication"":{""paid"":true,""type"":""free"",""reason"":""dialogs.tariffication.message""},""type"":""botMessage"",""split-message-group-id"":""908550a97cd4431b9f486d6bc51d67ba"",""splitMessageGroupId"":""908550a97cd4431b9f486d6bc51d67ba"",""split-num"":1,""splitNum"":1,""split-total-count"":2,""splitTotalCount"":2}},""no"":24}","["".*""]"
547,2026-04-26T12:07:23.142686,INCOMING,"{""sync"":""1777223242995"",""type"":""event.ai.suggestions.generated"",""timestamp"":1777223242,""details"":{""user-id"":""71450258242"",""userId"":""71450258242"",""bot-id"":""61382153442"",""botId"":""61382153442"",""message-id"":2427333339,""messageId"":2427333339,""suggestions"":[],""disabled"":true},""no"":25}","["".*""]"
