TIMESTAMP                      | DIR        | DATA/MESSAGE
----------------------------------------------------------------------------------------------------
test                           | OUTGOING   | test
2026-04-26T11:25:26.435349     | INCOMING   | TYPE: message:read - {'attendee': '61183579742'}
2026-04-26T11:25:26.460858     | INCOMING   | TYPE: staled:event - {'event-id': 10001647090040, 'eventId': 10001647090040, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '61183579742', 'userId': '61183579742', 'type': 'message', 'stack': 0}
2026-04-26T11:26:09.774375     | INCOMING   | TYPE: message:delivery - {'id': 0, 'status': 1, 'tag': '71450258242_1777258322612'}
2026-04-26T11:26:09.794424     | INCOMING   | TYPE: event.users.experience.updated..ai - {'user-id': '71450258242', 'userId': '71450258242', 'current': {'current-points': 4290, 'currentPoints': 4290, 'next-level-points': 6000, 'nextLevelPoints': 6000, 'level': 10}, 'changes': {'experience-changed': 5, 'experienceChanged': 5, 'level-changed': 0, 'levelChanged': 0, 'reason': {'message-tag': '71450258242_1777258322612', 'messageTag': '71450258242_1777258322612'}}}
2026-04-26T11:26:09.816367     | INCOMING   | TYPE: message:delivery - {'id': 2423752822, 'status': 1, 'tag': '71450258242_1777258322612'}
2026-04-26T11:26:09.838594     | INCOMING   | TYPE: event.bot.typing.started - {'bot-id': 61183579742, 'botId': 61183579742, 'typing-indicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 3305}], 'typingIndicators': [{'delay-before': 0, 'delayBefore': 0, 'duration': 3305}]}
2026-04-26T11:26:09.857601     | INCOMING   | TYPE: message:message:v2 - {'id': 2423752822, 'sender': '71450258242', 'recipient': '61183579742', 'type': 1, 'timestamp': 1777220769, 'text': 'so my access?', 'tag': '71450258242_1777258322612', 'initial': True, 'status': 1, 'source': None, 'favorite': True, 'auto': False, 'meta': {'automation': {}, 'ranking': {'labels': [], 'version': 'emote_sexting_classifier@2.0.0'}, 'tariffication': {'paid': True, 'type': 'purchase', 'reason': 'dialogs.tariffication.message'}}}
2026-04-26T11:26:09.883428     | INCOMING   | TYPE: event.ai.suggestions.generated - {'user-id': '71450258242', 'userId': '71450258242', 'bot-id': '61183579742', 'botId': '61183579742', 'message-id': 2423752822, 'messageId': 2423752822, 'suggestions': [], 'disabled': True}
2026-04-26T11:26:09.910301     | INCOMING   | TYPE: added:event - {'title': None, 'event-id': 10001647090040, 'eventId': 10001647090040, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '61183579742', 'userId': '61183579742', 'type': 'message', 'stale': True, 'silent': False, 'stack': 0, 'fresh': 0, 'total': 2225, 'timestamp': '2026-04-26T16:26:09.723Z', 'expiration': None, 'expiration-seconds': None, 'expirationSeconds': None, 'ttl': None, 'show-expiration-from': None, 'showExpirationFrom': None, 'payload': {'ranking': {'labels': [], 'version': 'emote_sexting_classifier@2.0.0'}, 'tariffication': {'paid': True, 'type': 'purchase', 'reason': 'dialogs.tariffication.message'}}, 'system': False}
2026-04-26T11:26:15.180781     | INCOMING   | TYPE: message:message:v2 - {'id': 2423752883, 'sender': '61183579742', 'recipient': '71450258242', 'type': 1, 'timestamp': 1777220775, 'text': "Impatient, are we? Fair enough, Darkling... Here’s your access code... Remember, discretion is key... Use it wisely... And perhaps next time, you'll share a touch more than crumbs of confession... But until then *lets the sentence hang teasingly*", 'tag': '8dea3b0866135a7', 'initial': True, 'status': 1, 'source': None, 'favorite': True, 'auto': True, 'meta': {'message-type': 'botMessage', 'messageType': 'botMessage', 'automation': {'type': 'BotAnswers', 'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False}, 'auto': True, 'ranking': {'labels': []}, 'regeneration': {'is-allowed': True, 'isAllowed': True}, 'tariffication': {'paid': True, 'type': 'free', 'reason': 'dialogs.tariffication.message', 'regeneration': {'cost': 2, 'type': 'subscription_then_purchase'}}, 'type': 'botMessage'}}
2026-04-26T11:26:15.197960     | INCOMING   | TYPE: event.ai.suggestions.generated - {'user-id': '71450258242', 'userId': '71450258242', 'bot-id': '61183579742', 'botId': '61183579742', 'message-id': 2423752883, 'messageId': 2423752883, 'suggestions': [], 'disabled': True}
2026-04-26T11:26:15.218568     | INCOMING   | TYPE: added:event - {'title': None, 'event-id': 10001647090040, 'eventId': 10001647090040, 'holder-id': '71450258242', 'holderId': '71450258242', 'user-id': '61183579742', 'userId': '61183579742', 'type': 'message', 'stale': False, 'silent': False, 'stack': 1, 'fresh': 1, 'total': 2226, 'timestamp': '2026-04-26T16:26:15.083Z', 'expiration': None, 'expiration-seconds': None, 'expirationSeconds': None, 'ttl': None, 'show-expiration-from': None, 'showExpirationFrom': None, 'payload': {'auto': True, 'ranking': {'labels': []}, 'automation': {'product': 'bot', 'bot': 'saturnBot', 'bot-version': '2.0.0', 'botVersion': '2.0.0', 'need-verification': False, 'needVerification': False, 'type': 'BotAnswers'}, 'message-type': 'botMessage', 'messageType': 'botMessage', 'regeneration': {'is-allowed': True, 'isAllowed': True}, 'tariffication': {'paid': True, 'type': 'free', 'reason': 'dialogs.tariffication.message', 'regeneration': {'cost': 2, 'type': 'subscription_then_purchase'}}, 'type': 'botMessage'}, 'system': False}
